page,status,upstreamMs,input_tokens,output_tokens,krw,questions,client_ms
reviews,200,457,1090,294,0.0632,10,785
reviews,200,263,1269,294,0.0736,10,765
reviews,200,232,1112,294,0.0645,10,749
reviews,200,207,1168,294,0.0677,10,740
reviews,200,251,1210,294,0.0701,10,743
reviews,200,188,1225,294,0.071,10,717
reviews,200,175,1110,294,0.0643,10,720
reviews,200,206,1176,294,0.0682,10,716
reviews,200,215,1127,294,0.0653,10,716
reviews,200,272,1125,294,0.0652,10,786
reviews,200,322,1265,294,0.0733,10,817
reviews,200,168,1197,294,0.0694,10,665
reviews,200,232,1162,294,0.0673,10,791
reviews,200,184,1222,294,0.0708,10,687
reviews,200,312,1153,294,0.0668,10,798
reviews,200,249,1195,294,0.0693,10,730
reviews,200,199,1184,294,0.0686,10,718
reviews,200,204,1232,294,0.0714,10,700
reviews,200,231,1226,294,0.0711,10,737
reviews,200,211,1209,294,0.0701,10,710
reviews,200,218,1261,294,0.0731,10,751
reviews,200,212,1241,294,0.0719,10,724
reviews,200,243,1183,294,0.0686,10,825
reviews,200,211,1184,294,0.0686,10,698
reviews,200,268,1194,294,0.0692,10,791
reviews,200,216,1178,294,0.0683,10,722
reviews,200,262,1213,294,0.0703,10,918
reviews,200,244,1195,294,0.0693,10,826
reviews,200,199,1205,294,0.0698,10,704
reviews,200,165,1268,294,0.0735,10,669
smishing,200,516,2741,327,0.1589,9,1050
smishing,200,352,2729,327,0.1582,9,989
smishing,200,214,2729,327,0.1582,9,767
smishing,200,224,2710,329,0.1571,9,729
smishing,200,218,2716,327,0.1574,9,721
smishing,200,202,2709,327,0.157,9,531
smishing,200,219,2665,327,0.1545,9,703
smishing,200,220,2701,327,0.1565,9,725
smishing,200,264,2710,331,0.1571,9,768
live,200,477,869,156,0.0504,5,835
live,200,475,1007,155,0.0584,5,805
2048,200,475,2896,227,0.1679,5,10
2048,200,275,2266,170,0.1313,6,0
2048,200,214,2913,227,0.1688,5,1
2048,200,211,2335,177,0.1353,6,2
2048,200,281,2857,220,0.1656,5,3
2048,200,219,2415,184,0.14,6,2
2048,200,304,2996,234,0.1736,6,1
2048,200,245,2855,220,0.1655,5,0
2048,200,264,2337,177,0.1355,6,0
2048,200,245,2854,220,0.1654,6,3
2048,200,244,2933,227,0.17,5,0
2048,200,237,2350,177,0.1362,6,3
2048,200,226,3002,234,0.174,5,0
2048,200,219,2348,177,0.1361,6,1
2048,200,217,2794,213,0.1619,5,3
2048,200,300,2335,177,0.1353,6,0
2048,200,312,2773,213,0.1607,6,0
2048,200,221,2838,220,0.1645,5,0
2048,200,210,2341,177,0.1357,6,1
2048,200,248,2916,227,0.169,5,1
2048,200,179,2277,170,0.132,5,1
2048,200,229,2348,177,0.1361,4,2
2048,200,197,1825,134,0.1058,5,2
2048,200,213,2272,170,0.1317,6,0
2048,200,216,2861,220,0.1658,6,0
2048,200,232,2987,234,0.1731,6,0
2048,200,340,2931,227,0.1699,6,6
2048,200,235,2918,227,0.1691,5,0
wordle,200,239,1033,86,0.0599,2,19
wordle,200,208,1373,119,0.0796,2,719
wordle,200,217,1033,86,0.0599,2,4
wordle,200,212,1376,119,0.0798,2,3
wordle,200,195,732,54,0.0424,2,508
wordle,200,233,1033,86,0.0599,2,3
wordle,200,180,788,62,0.0457,2,506
wordle,200,235,1033,86,0.0599,2,5
wordle,200,217,1382,119,0.0801,2,713
wordle,200,211,1034,86,0.0599,2,4
wordle,200,192,1379,119,0.0799,2,3
wordle,200,282,814,62,0.0472,2,3
wordle,200,246,779,54,0.0452,2,575
wordle,200,275,1034,86,0.0599,2,4
wordle,200,369,1374,119,0.0796,2,884
wordle,200,178,1034,86,0.0599,2,4
wordle,200,220,1382,119,0.0801,2,6
wordle,200,223,1152,94,0.0668,2,3
wordle,200,223,786,54,0.0456,2,558
wordle,200,259,1034,86,0.0599,2,5
wordle,200,238,1385,119,0.0803,2,733
wordle,200,213,1034,86,0.0599,2,6
wordle,200,185,1372,119,0.0795,2,5
wordle,200,273,899,70,0.0521,2,598
